# 🔍 Expert Sources — AI-Powered SEO Content Production 🚀

| S.No | Name | LinkedIn URL | Followers | Date Visited | Annotation |
|------|------|-------------|-----------|--------------|------------|
| 1 | Kevin Indig | https://www.linkedin.com/in/kevin-indig | 39K+ | 21-Jun-26 | Covers how AI is shifting SEO from keyword rankings to brand authority in AI-generated answers. His Growth Memo newsletter breaks down how companies should restructure content strategy for agentic and AI-first search |
| 2 | Koray Tuğberk Gübür | https://www.linkedin.com/in/koray-tugberk-gubur | 35K+ | 22-Jun-26 | Builds content architecture using Topical Authority Maps and Knowledge Graphs — directly relevant to how AI engines decide which content to cite. His semantic SEO frameworks are used to structure AI-ready content at scale |
| 3 | Dr. Marie Haynes | https://www.linkedin.com/in/marie-haynes | 96K+ (X) | 22-Jun-26 | Studies how Google's AI systems evaluate content quality using E-E-A-T signals. Essential for understanding what makes AI-produced content trustworthy and rankable vs content that gets penalized |
| 4 | Mike King | https://www.linkedin.com/in/michaelkingphilly | 42K+ | 22-Jun-26 | Analyzes Google's AI patents to understand how search algorithms actually process and rank content. His technical breakdowns help content producers understand what AI search engines are looking for at a structural level |
| 5 | Lily Ray | https://www.linkedin.com/in/lily-ray-44755615 | 44K+ | 22-Jun-26 | Tracks real-world impact of Google AI Overviews on content visibility and click rates. Her research helps content teams understand when AI-generated content helps vs hurts rankings, with honest case studies and no hype |
| 6 | Ross Simmonds | https://www.linkedin.com/in/rosssimmonds | 50K+ | 21-Jun-26 | Focuses on how B2B brands can use AI tools to scale content distribution without losing quality. His frameworks show how to produce content that gets picked up across multiple channels using AI-powered workflows |
| 7 | Ruben Hassid | https://www.linkedin.com/in/ruben-hassid | 749K+ newsletter | 21-Jun-26 | Builds practical AI content workflows using Claude and other tools, teaching non-technical users how to produce high-quality content at scale. His approach directly addresses how AI writing tools should be used strategically, not just for speed |
| 8 | Amanda Natividad | https://www.linkedin.com/in/amandanat | LinkedIn Top Voice 2026 | 22-Jun-26 | Creator of the zero-click content framework — explains how to produce content that builds brand authority even when AI search answers users without sending traffic. Critical perspective for anyone producing SEO content in an AI-first world |
| 9 | Ryan Law | https://www.linkedin.com/in/thinkingslow | 300K+ newsletter | 22-Jun-26 | Makes the case that AI content production at scale creates commodity content that Google devalues. His Thinking Slow newsletter teaches how to use AI as a research and drafting tool while keeping human expertise at the core of content strategy |
| 10 | Devendra Saini | https://www.linkedin.com/in/devendrasaini | 15K+ | 21-Jun-26 | Practices GEO and AEO strategies for enterprise brands in India, optimizing content specifically to get cited by ChatGPT, Gemini and Perplexity. Real-world case studies of AI citation rate improvements for SaaS clients make him a strong practitioner perspective |
